"","runoff_racmo","salt_shallow","salt_deep","temp_shallow","temp_deep","ice_cover_percent","velocity","noise_4kHz","DOY","glacier_len_norm"
"runoff_racmo",1,"","","","","","","","",""
"salt_shallow",-0.01,"1","","","","","","","",""
"salt_deep",0.66,"0.23","1","","","","","","",""
"temp_shallow",0.58,"0.17","0.51","1","","","","","",""
"temp_deep",0.34,"0.55","0.44","0.5","1","","","","",""
"ice_cover_percent",-0.09,"0.22","0.06","0.04","0.25","1","","","",""
"velocity",0.16,"-0.19","0.43","0.42","0.16","0.05","1","","",""
"noise_4kHz",0.27,"-0.28","0.19","0.12","-0.21","-0.37","0.09","1","",""
"DOY",-0.65,"-0.22","-0.6","-0.28","-0.32","0.12","0","-0.37","1",""
"glacier_len_norm",-0.04,"0.31","-0.27","-0.2","0.29","0.26","-0.47","-0.22","-0.14","1"
